pool,block_number,q_spot,ell_spot,l_spot,lvr_increment,lvr_neutral_increment
5bp_WETH_USDC,21102263,2494.4201089315297,11133489.558192575,44.68347207203809,39494.65737093625,3843.6691792541314
5bp_WETH_USDC,21104663,2452.37546130166,10426363.881845169,42.9261994689871,46.49283373814898,4.872854175129118
5bp_WETH_USDC,21107063,2453.8472544838114,10476450.935095126,43.093612227194214,419.56375505937876,43.75057587815683
5bp_WETH_USDC,21109463,2449.4345227086287,11097096.98888126,45.76997068692032,12508.77981416477,1232.526896251952
5bp_WETH_USDC,21111863,2472.813857745486,10795866.72327996,43.89755989002539,12.081548536531463,1.217848125400392
5bp_WETH_USDC,21114263,2473.555776089698,10799738.382556224,43.89354706508985,47065.15025545637,4741.864251537845
5bp_WETH_USDC,21116663,2427.246884773321,10485565.521671547,43.84205819192606,46.46087297909644,4.86701054917256
5bp_WETH_USDC,21119063,2425.7910462284076,10321280.847606732,43.19400924214667,2251.0235354120555,239.63127704827625
5bp_WETH_USDC,21121463,2436.0002825587276,10374835.832872674,43.14547316794274,103.5882948414167,10.947489570936508
5bp_WETH_USDC,21123863,2433.808978102733,10611523.60033557,44.18939090059973,603442.963471416,62379.0843001734
5bp_WETH_USDC,21126263,2599.0713965429036,13191481.71453159,49.77786545601512,34383.48748258937,2766.756866022471
5bp_WETH_USDC,21128663,2636.239621876628,13209636.448398218,48.79592386393155,39246.37528013743,3131.4104889150512
5bp_WETH_USDC,21131063,2676.346882625619,11822961.814409986,42.69555746988067,545204.7215321033,48237.62053415339
5bp_WETH_USDC,21133463,2836.156700922756,5689313.880135843,18.83365302881294,2446.792378584107,437.0145229181754
5bp_WETH_USDC,21135863,2820.037397335279,6595303.433327265,22.020262102471495,48652.91203906118,7517.447102083706
5bp_WETH_USDC,21138263,2886.5123712402246,6899954.118916548,22.24621204545049,5682.091593911116,829.4669228143356
5bp_WETH_USDC,21140663,2909.1140697090686,6296115.85378751,20.063264054973356,7410.66925848821,1180.9407292248702
5bp_WETH_USDC,21143063,2936.2936608122573,6478889.7893906105,20.35969957905668,106.30655176264203,16.386396211569984
5bp_WETH_USDC,21145463,2939.525199285249,8031683.51795942,25.197694727349234,16131.416381419689,2004.7077844837245
5bp_WETH_USDC,21147863,2975.3077127536335,6283516.159046221,19.3586428932727,34964.32778510196,5520.523451464564
5bp_WETH_USDC,21150263,3035.40988033414,7389009.587208287,22.09175505265259,27143.523815880868,3608.237222933759
5bp_WETH_USDC,21152663,3084.9814878048833,8247548.227030768,24.06667119926068,110563.86447493052,13061.282459004171
5bp_WETH_USDC,21155063,3180.836227131659,5911586.72943717,16.476391635615695,3995.4682836081943,648.5100696294082
5bp_WETH_USDC,21157463,3202.858786448828,5517249.1501296265,15.218992889024877,65515.852025013926,11354.778264061937
5bp_WETH_USDC,21159863,3110.0700549809776,6425675.650366585,18.52394771928752,45552.52668501189,6879.111391679571
5bp_WETH_USDC,21162263,3180.2001552985976,7556646.888478743,21.06771581035043,4069.5390094360987,516.7882328564995
5bp_WETH_USDC,21164663,3160.5448913599507,13876749.273483625,39.049439169223525,616457.2308588383,42761.99755698524
5bp_WETH_USDC,21167063,3338.2332897932984,7416543.542608095,19.226336078435708,429.3239884466579,54.21868985628435
5bp_WETH_USDC,21169463,3344.9161028233384,18917570.25597134,48.89421928553065,178784.83972741113,8842.935875708763
5bp_WETH_USDC,21171863,3259.3992746250565,9230237.851700401,24.80142016656405,2116.0986417877343,217.30913854065247
5bp_WETH_USDC,21174263,3272.462327270571,9134158.554888982,24.396446149092846,94732.516123263,9811.083118230212
5bp_WETH_USDC,21176663,3184.3368969663716,8582112.837046238,23.88007635392654,121.18102310334635,13.541121858751433
5bp_WETH_USDC,21179063,3187.522667197128,8970558.518757064,24.923530709589176,11317.945303440149,1209.3311027990478
5bp_WETH_USDC,21181463,3157.3860840731872,8795815.90717424,24.78874841293716,57261.430351892486,6269.688616500803
5bp_WETH_USDC,21183863,3225.356322612207,9301712.236663092,25.39021353669556,24803.92624060069,2540.928459719681
5bp_WETH_USDC,21186263,3181.154310754372,9928046.781465074,27.66665884176225,69899.41819135107,6755.245459937859
5bp_WETH_USDC,21188663,3110.0700549809776,8843510.905449433,25.494086938258175,37523.187797530496,4117.311087416625
5bp_WETH_USDC,21191063,3055.814385089092,7717591.278667311,22.843430404531155,13528.395178803179,1716.0296093960847
5bp_WETH_USDC,21193463,3090.2301540074964,9118245.486416258,26.539641109440858,247.99985949493816,26.47698307672051
5bp_WETH_USDC,21195863,3085.9070748037543,9059830.575951926,26.42504979493638,26097.424797632582,2806.1437379240333
5bp_WETH_USDC,21198263,3130.350335854177,11325606.027996663,32.33270482549766,16978.75343869209,1450.0121306167837
5bp_WETH_USDC,21200663,3162.7579366089594,16322645.57631759,45.88403724571258,1318.561971010677,77.7321669315491
